City,Country,Date,Cloudiness,Humidity,Lat,Lng,Max Temp,Wind Speed
San Matias,HN,1554037200,40,87,13.97,-86.63,57.2,2.95
Antalaha,MG,1554040986,20,85,-14.9,50.28,81.99,4.74
Venado,MX,1554040987,76,85,22.93,-101.09,59.76,6.64
Kaitangata,NZ,1554040884,88,69,-46.28,169.85,64.0,8.01
Touho,NC,1554040987,48,88,-20.78,165.23,72.27,3.06
Inowroclaw,PL,1554040681,0,40,52.8,18.26,52.0,18.34
Barstow,US,1554040948,1,55,31.46,-103.39,39.99,6.93
Chiredzi,ZW,1554040988,36,55,-21.05,31.67,83.79,6.98
North Vanlaiphai,IN,1554040989,36,73,23.13,93.07,69.12,2.84
Kirkenes,NO,1554038400,40,68,69.73,30.05,30.2,27.51
Hobyo,SO,1554040989,8,74,5.35,48.53,82.8,12.35
Sanvordem,IN,1554037200,40,74,15.27,74.12,84.2,6.93
Lazaro Cardenas,MX,1554040616,0,45,28.39,-105.62,50.0,12.57
Creel,MX,1554040982,12,62,27.75,-107.63,47.97,3.29
Rio Grande,BR,1554037200,0,73,-32.03,-52.1,77.0,3.36
Lagos,NG,1554037200,75,67,6.46,3.39,93.2,8.05
Cherskiy,RU,1554040991,0,33,68.75,161.3,-8.55,1.95
Erenhot,CN,1554040992,48,59,43.65,111.97,22.68,3.96
Baykit,RU,1554040707,80,91,61.68,96.39,32.94,6.98
Severo-Yeniseyskiy,RU,1554040992,68,85,60.37,93.04,35.64,7.65
San Juan,PH,1554040871,40,65,14.6,121.03,82.99,11.41
Talnakh,RU,1554040994,88,90,69.49,88.39,31.05,16.71
Gambela,ET,1554040994,44,37,8.25,34.59,84.42,4.97
Khatanga,RU,1554040995,76,87,71.98,102.47,30.15,16.82
Nuuk,GL,1554040920,40,49,64.17,-51.74,24.01,10.29
Kamenka,RU,1554040996,56,88,53.19,44.05,35.37,11.68
Tilichiki,RU,1554040706,88,90,60.47,166.1,29.97,10.78
Hanmer Springs,NZ,1554040996,92,57,-42.52,172.83,65.52,15.14
Walsall,GB,1554040992,20,53,52.58,-1.98,55.0,14.99
Vossevangen,NO,1554040914,80,75,60.63,6.42,36.0,1.01
Kirkwood,ZA,1554037200,75,60,-33.4,25.44,71.6,8.05
Road Town,VG,1554040800,20,69,18.42,-64.62,82.4,4.7
Makubetsu,JP,1554040998,20,97,42.84,143.34,20.43,2.95
Kinablangan,PH,1554040998,100,100,7.69,126.55,77.22,12.35
Juneau,US,1554036960,40,92,58.3,-134.42,28.4,2.73
Ust-Ishim,RU,1554040998,56,85,57.69,71.17,31.68,11.23
Robe,ET,1554040999,20,32,7.12,40.01,73.08,7.76
Svetlaya,RU,1554040999,20,100,46.54,138.33,25.47,1.83
Sharjah,AE,1554037200,0,26,25.36,55.39,93.2,16.11
Yankton,US,1554040560,1,68,42.87,-97.4,28.4,11.41
Castelo do Piaui,BR,1554040771,76,98,-5.32,-41.55,79.02,1.39
Tual,ID,1554041000,80,100,-5.67,132.75,82.44,10.0
Emmett,US,1554040990,1,73,43.87,-116.5,39.0,2.28
Ambilobe,MG,1554041001,36,100,-13.19,49.05,73.8,1.72
Bukama,CD,1554041001,12,43,-9.2,25.85,91.8,4.41
Berwick,US,1554041000,90,76,41.06,-76.25,53.6,8.05
Gavle,SE,1554040334,0,29,60.67,17.14,46.0,10.0
Sassandra,CI,1554041003,12,94,4.95,-6.09,85.14,13.13
Birobidzhan,RU,1554041003,0,68,48.79,132.93,19.08,2.95
Norfolk,US,1554040924,1,63,36.85,-76.29,70.0,13.87
Pangai,TO,1554041004,92,100,-19.8,-174.35,75.87,7.99
Sale,GB,1554041001,90,50,53.42,-2.32,55.0,9.17
Misawa,JP,1554040808,75,100,40.75,141.38,32.0,3.36
Port Blair,IN,1554041005,0,100,11.67,92.75,84.78,5.41
Katherine,AU,1554039000,0,73,-14.47,132.26,77.0,9.22
Awbari,LY,1554041006,68,24,26.59,12.77,77.22,4.41
Gamba,CN,1554041006,12,76,28.28,88.52,9.45,5.41
Puerto Carreno,CO,1554037200,75,78,6.19,-67.49,82.4,2.62
Shaowu,CN,1554041007,100,100,27.34,117.49,52.2,1.72
Ustka,PL,1554041007,0,75,54.58,16.86,43.47,18.05
Menongue,AO,1554041007,12,19,-14.66,17.68,89.28,3.62
Baruun-Urt,MN,1554041008,0,60,46.68,113.28,16.11,4.41
Maun,BW,1554037200,75,30,-19.99,23.42,93.2,2.24
Isangel,VU,1554040815,68,100,-19.55,169.27,79.2,11.45
Bereda,ES,1554041008,20,72,43.27,-7.54,62.01,9.17
Ngunguru,NZ,1554040985,92,95,-35.62,174.5,66.99,19.73
Sabha,LY,1554041009,0,41,27.03,14.43,72.0,4.63
Labuhan,ID,1554041010,32,93,-2.54,115.51,73.89,1.83
Monster,NL,1554041008,75,62,52.03,4.17,57.0,14.99
Khunti,IN,1554039000,75,33,23.08,85.28,87.8,3.36
Jumla,NP,1554041011,0,83,29.28,82.18,29.7,2.62
Waipawa,NZ,1554039795,92,86,-39.94,176.59,61.0,5.99
Berdigestyakh,RU,1554040976,0,69,62.1,126.7,9.09,2.17
Mega,ET,1554041012,0,27,4.06,38.32,83.61,9.55
Pozo Colorado,PY,1554041012,56,69,-23.49,-58.8,90.63,9.89
Poum,MK,1554039000,0,21,41.28,20.71,60.8,8.05
Dedza,MW,1554041013,56,66,-14.38,34.33,73.98,4.85
Samana,EC,1554037200,90,100,0.12,-76.97,75.2,3.36
Gumdag,TM,1554041014,56,72,39.2,54.59,47.07,16.04
Hakodate,JP,1554040826,44,100,41.8,140.75,31.32,4.74
Detmold,DE,1554040880,0,71,51.94,8.88,53.01,10.29
Belle Glade,US,1554040810,90,78,26.68,-80.67,78.01,4.85
Sumter,US,1554040840,40,72,33.92,-80.34,66.2,11.41
Alta Floresta,BR,1554041015,12,78,-9.87,-56.08,83.88,1.39
Burnie,AU,1554040984,0,70,-41.05,145.91,46.99,14.36
The Valley,AI,1554040804,40,65,18.22,-63.06,84.0,5.82
Astaneh-ye Ashrafiyeh,IR,1554039000,90,87,37.26,49.94,46.4,4.7
Saint-Francois,FR,1554040891,0,34,46.42,3.91,68.0,8.05
Qandala,SO,1554041016,0,54,11.47,49.87,81.36,2.73
Grand-Santi,GF,1554041017,0,60,4.27,-54.38,87.57,2.95
Petropavlovsk-Kamchatskiy,RU,1554037200,8,85,53.05,158.65,23.0,4.47
Cartagena,ES,1554040968,90,100,37.63,-1.0,55.4,19.46
Nongstoin,IN,1554041018,92,99,25.52,91.27,62.19,1.28
Gizo,IL,1554040989,75,76,31.8,34.94,61.0,8.05
Ferme-Neuve,CA,1554041018,92,77,46.7,-75.45,28.98,10.22
Buraydah,SA,1554037200,75,54,26.33,43.97,84.2,11.41
Hambantota,LK,1554037800,20,83,6.12,81.12,84.2,8.05
Naisud,PH,1554041019,0,97,11.81,122.19,81.18,18.5
Beringovskiy,RU,1554041020,80,92,63.05,179.32,32.4,10.22
Ucluelet,CA,1554040565,90,100,48.94,-125.55,42.01,3.36
Elko,US,1554040805,1,79,40.83,-115.76,28.0,3.36
Krasnyy,RU,1554041021,64,88,53.81,40.7,39.78,11.23
Rock Springs,US,1554036840,1,85,41.59,-109.2,17.6,4.7
Cacequi,BR,1554041021,68,73,-29.88,-54.83,81.0,5.97
Petatlan,MX,1554037140,20,88,17.52,-101.27,64.4,1.72
Catacocha,EC,1554037200,20,100,-4.05,-79.65,62.6,2.24
Horconcitos,PA,1554041022,0,56,8.47,-81.8,81.72,2.73
Yaan,NG,1554041023,0,52,7.38,8.57,96.75,5.19
Fortuna,ES,1554041023,75,93,38.18,-1.13,60.01,2.24
Filingue,NE,1554041023,0,15,14.35,3.32,107.1,13.13
Bodden Town,KY,1554040804,75,83,19.28,-81.25,82.0,11.41
Turiacu,BR,1554041024,64,77,-5.01,-63.0,86.4,3.96
Doha,QA,1554039000,0,61,25.29,51.53,84.2,18.34
Klaksvik,FO,1554038400,92,81,62.23,-6.59,42.8,11.41
Tremedal,BR,1554040870,8,71,-14.98,-41.41,79.65,7.76
Zima,RU,1554041025,88,86,53.93,102.05,32.67,2.84
Eugene,US,1554040980,40,93,44.05,-123.1,43.0,4.7
Faya,SA,1554037200,40,46,18.39,42.45,73.4,11.41
Woodward,US,1554040862,1,79,36.43,-99.39,32.0,4.7
Lasa,CY,1554040200,75,82,34.92,32.53,59.0,4.7
Amazar,RU,1554041027,36,58,53.86,120.88,15.57,3.18
Sumbe,AO,1554037200,40,100,-11.2,13.84,87.8,10.29
Angoram,PG,1554041028,68,93,-4.06,144.07,77.31,1.83
Sterling,US,1554040850,90,66,39.0,-77.4,57.99,19.46
Jiwani,PK,1554041029,8,52,25.05,61.74,81.09,10.0
Ancud,CL,1554037200,90,100,-41.87,-73.83,51.8,2.24
Santiago,CL,1554040992,75,93,-33.44,-70.65,62.01,3.29
Matara,PE,1554037200,75,69,-13.74,-72.9,48.2,2.39
Ust-Barguzin,RU,1554041030,0,62,53.41,109.03,7.74,2.95
Shimoda,JP,1554041031,0,100,34.7,138.93,54.0,19.51
Cabedelo,BR,1554037200,40,83,-6.97,-34.84,82.4,10.29
Jieshou,CN,1554041032,0,44,33.26,115.35,46.44,7.54
Trinidad,UY,1554041019,32,77,-33.52,-56.9,81.09,4.74
Mawlaik,MM,1554041032,32,94,23.63,94.42,68.4,2.39
Casablanca,MA,1554040927,75,68,33.6,-7.62,69.8,16.11
Kenai,US,1554040865,1,86,60.55,-151.26,34.0,3.36
Laguna,MX,1554037200,5,71,27.52,-110.01,50.0,4.7
Okha,RU,1554041034,20,68,53.59,142.95,2.07,5.75
Mecca,SA,1554041034,8,25,21.43,39.83,80.55,10.89
Taltal,CL,1554041034,12,86,-25.41,-70.49,64.35,2.62
Krasnoye,RU,1554039000,0,29,44.87,39.46,62.6,15.66
Bathsheba,BB,1554037200,40,66,13.22,-59.52,84.2,17.22
Kendari,ID,1554041035,20,98,-3.99,122.52,73.62,3.18
Kahului,US,1554040866,1,82,20.89,-156.47,66.99,4.7
Gaur,NP,1554041036,32,81,26.77,85.27,69.03,2.28
Broome,GB,1554041001,40,57,52.47,1.45,52.0,13.87
Batagay-Alyta,RU,1554041037,8,50,67.8,130.41,-4.95,2.73
Muriwai Beach,NZ,1554040981,92,83,-36.82,174.45,70.0,12.75
Moree,AU,1554037200,0,58,-29.46,149.84,55.4,6.93
San Andres,PH,1554041009,88,100,13.32,122.68,81.09,6.64
Bundaberg,AU,1554040844,0,82,-24.87,152.35,66.99,5.82
Aswan,EG,1554037200,0,17,24.09,32.9,73.4,16.11
Sola,NO,1554040893,40,56,58.89,5.65,41.0,13.87
Lekoni,GA,1554041040,8,78,-1.58,14.26,86.31,4.52
Najran,SA,1554037200,0,10,17.54,44.22,98.6,13.87
Binga,ZW,1554041041,0,46,-17.62,27.34,88.74,3.51
Chortomlyk,UA,1554041041,0,64,47.62,34.14,55.98,2.39
Griffith,AU,1554037200,90,72,-34.29,146.06,60.8,4.7
Timbuktu,ML,1554041042,12,15,16.77,-3.01,106.56,9.22
Ust-Kut,RU,1554041042,36,68,56.78,105.75,24.39,3.74
Businga,CD,1554041042,12,41,3.34,20.89,93.24,1.39
Lewistown,US,1554040939,1,58,40.39,-90.15,34.0,9.17
Lucapa,AO,1554041043,56,92,-8.42,20.74,76.32,4.41
Rawson,AR,1554041044,0,33,-43.3,-65.11,82.08,11.01
Akdepe,TM,1554039000,40,56,42.05,59.39,44.6,13.87
Mayor Pablo Lagerenza,PY,1554041044,0,53,-19.93,-60.77,94.59,16.6
Yichang,CN,1554041044,20,75,30.77,111.32,52.02,3.62
Anito,PH,1554041045,0,97,12.45,125.29,79.2,10.45
Popondetta,PG,1554041045,80,97,-8.77,148.24,69.03,2.06
Daru,SL,1554041045,0,60,7.99,-10.85,93.42,4.41
Omboue,GA,1554041046,20,100,-1.57,9.26,84.51,8.99
Yenagoa,NG,1554040761,64,73,4.92,6.26,88.83,6.53
Macomb,US,1554040765,1,68,40.46,-90.67,30.99,11.41
Salinas,US,1554041028,1,93,36.67,-121.66,51.01,3.4
Zapolyarnyy,RU,1554038400,40,68,69.43,30.82,30.2,27.51
Llanes,ES,1554040976,44,75,43.42,-4.75,66.0,2.73
Ashland,US,1554040938,90,74,38.48,-82.64,42.01,10.29
Vila,IT,1554041045,0,18,45.18,8.4,73.0,8.05
Aklavik,CA,1554037800,90,87,68.22,-135.01,35.6,9.17
Tocopilla,CL,1554041049,8,95,-22.09,-70.2,67.68,5.41
Vanimo,PG,1554041049,80,99,-2.67,141.3,83.34,17.27
Nijar,ES,1554040951,90,82,36.97,-2.21,60.01,5.82
Nanakuli,US,1554040822,1,93,21.39,-158.15,66.2,3.36
Pangkalanbuun,ID,1554040979,56,94,-2.68,111.62,74.7,3.06
Solnechnyy,RU,1554041051,64,74,50.72,136.64,19.71,5.64
Zelenoborskiy,RU,1554041051,36,71,66.84,32.36,33.48,6.98
Zaysan,KZ,1554041051,0,95,47.47,84.87,39.15,1.72
Torbay,CA,1554041012,90,76,47.66,-52.73,55.99,8.05
Narsingi,IN,1554040865,40,32,18.04,78.43,95.0,1.83
Ilulissat,GL,1554036600,75,85,69.22,-51.1,19.4,18.34
Vuktyl,RU,1554041052,88,70,63.86,57.31,31.41,8.32
Urozhaynoye,RU,1554041053,24,83,47.7,142.03,22.23,11.01
Yumen,CN,1554041054,0,44,40.29,97.04,41.04,7.09
Cuiluan,CN,1554041054,56,58,47.72,128.65,16.74,2.39
Romitan,UZ,1554039000,0,48,39.93,64.38,60.8,20.8
Tornio,FI,1554041025,90,66,61.12,27.27,39.0,9.17
Nieuw Amsterdam,SR,1554040513,75,66,5.88,-55.08,87.01,6.93
Mahibadhoo,MV,1554041056,0,100,3.78,72.97,84.42,0.72
Xinmin,CN,1554039000,0,73,42.0,122.83,32.0,4.47
Plougastel-Daoulas,FR,1554040924,0,55,48.37,-4.37,66.99,14.99
Praia da Vitoria,PT,1554040879,75,82,38.73,-27.07,59.0,25.66
Aykhal,RU,1554041057,36,71,65.95,111.51,24.39,9.66
Coronel Bogado,PY,1554039000,75,78,-27.16,-56.24,80.6,3.36
Alcudia,ES,1554040838,40,77,39.85,3.12,63.0,9.17
Kombai,IN,1554041058,0,38,12.38,78.71,80.01,5.53
Riyadh,SA,1554037200,75,12,24.63,46.72,95.0,5.82
Trincomalee,LK,1554040986,12,57,8.58,81.23,84.06,7.99
Bokovskaya,RU,1554041059,0,69,49.23,41.83,55.26,6.2
Luena,AO,1554037200,0,38,-11.78,19.91,87.8,9.17
Biak,ID,1554041059,92,100,-0.91,122.88,74.07,1.95
Pereira Barreto,BR,1554041060,0,67,-20.64,-51.11,86.31,8.21
Ust-Omchug,RU,1554041060,0,59,61.13,149.63,-4.32,2.73
Patti,IT,1554041052,20,51,38.14,14.96,66.2,13.87
Ghogha,IN,1554039000,0,29,21.69,72.28,91.4,10.29
Tevaitoa,PF,1554041061,36,100,-16.78,-151.5,82.71,1.28
Kodinsk,RU,1554041062,92,89,58.6,99.18,36.81,4.85
Guozhen,CN,1554041062,64,82,29.3,113.14,50.04,2.73
Kharan,PK,1554041062,0,29,28.58,65.42,66.6,3.74
Povenets,RU,1554041063,0,67,62.85,34.83,33.84,4.74
Norman Wells,CA,1554037200,90,60,65.28,-126.83,39.2,9.17
Igrim,RU,1554041064,68,79,63.19,64.42,33.12,6.2
Lahaina,US,1554041038,1,82,20.87,-156.68,66.99,4.7
Muros,ES,1554041053,40,30,42.77,-9.06,71.01,3.36
Kolkwitz,DE,1554040977,75,76,50.72,11.42,54.0,11.41
Simao,CN,1554041065,36,70,22.76,100.79,64.71,2.62
Khoy,IR,1554041065,92,99,38.55,44.95,34.65,3.18
Richards Bay,ZA,1554041065,24,61,-28.77,32.06,83.52,10.67
San Quintin,PH,1554041066,36,81,17.54,120.52,73.35,2.95
Barahona,DO,1554037200,40,78,18.21,-71.1,78.8,5.82
Balkanabat,TM,1554041066,88,85,39.51,54.36,42.84,5.41
Aden,YE,1554041067,0,96,12.79,45.03,80.91,19.73
Pokosnoye,RU,1554041067,56,95,55.53,101.05,34.56,2.73
Dobryatino,RU,1554041067,8,85,55.51,41.32,41.67,15.26
Coahuayana,MX,1554041068,68,30,18.62,-100.35,74.88,2.73
Port-Gentil,GA,1554037200,20,83,-0.72,8.78,80.6,8.05
Dudinka,RU,1554041068,64,93,69.41,86.18,31.23,20.29
Manyana,AU,1554040855,75,62,-35.26,150.51,57.99,12.75
Blagoyevo,RU,1554041069,20,59,63.37,47.92,33.12,6.98
Funtua,NG,1554041069,0,18,11.52,7.31,98.82,11.68
Faanui,PF,1554041069,48,100,-16.48,-151.75,82.71,2.62
Evanston,US,1554041049,1,46,42.04,-87.69,30.99,11.41
Grootfontein,NA,1554041070,68,28,-19.56,18.1,86.76,5.97
Provideniya,RU,1554041070,80,97,64.42,-173.23,28.17,7.99
Ilebo,CD,1554041071,20,69,-4.33,20.59,87.57,2.84
Bad Hofgastein,AT,1554041068,20,39,47.17,13.11,64.4,6.93
Kuusamo,FI,1554038400,75,55,65.96,29.19,33.8,14.99
Carballo,ES,1554041042,20,72,43.21,-8.69,64.0,9.17
Binzhou,CN,1554041012,36,26,37.38,117.96,50.0,1.99
Linfen,CN,1554041072,0,48,36.09,111.52,33.57,2.73
Coquimbo,CL,1554037200,0,77,-29.95,-71.34,62.6,2.95
Briancon,FR,1554040867,0,19,44.9,6.65,69.01,1.01
Concepcion del Oro,MX,1554041073,76,76,24.63,-101.42,54.63,2.62
Hillsborough,US,1554040815,5,81,37.57,-122.38,52.0,2.84
Banda Aceh,ID,1554041074,12,98,5.56,95.32,75.78,2.62
Puerto Escondido,MX,1554036300,40,73,15.86,-97.07,73.4,5.82
Gorontalo,ID,1554040870,80,95,0.54,123.06,73.35,2.39
Ondangwa,NA,1554041075,32,57,-17.91,15.98,84.78,3.29
Urengoy,RU,1554041075,92,91,65.96,78.37,31.14,24.54
Satna,IN,1554040860,0,53,24.58,80.83,74.52,3.4
Visby,SE,1554040968,40,81,57.64,18.3,45.0,18.34
Smidovich,RU,1554041076,0,75,48.6,133.81,18.18,2.95
Gushikawa,JP,1554040946,75,59,26.35,127.87,62.6,12.75
Yulara,AU,1554037200,0,25,-25.24,130.99,66.2,8.05
Namatanai,PG,1554041077,76,100,-3.66,152.44,79.38,10.45
Quatre Cocos,MU,1554041043,75,66,-20.21,57.76,84.2,9.17
Payson,US,1554040831,1,80,40.04,-111.73,36.0,5.82
Chinsali,ZM,1554041078,48,60,-10.55,32.07,76.14,5.08
Yakovlevka,RU,1554041078,76,72,44.43,133.47,25.02,2.17
Carutapera,BR,1554041078,92,97,-1.2,-46.02,79.83,6.64
La Vega,DO,1554040855,75,88,19.22,-70.53,81.0,6.93
Pangnirtung,CA,1554041079,76,92,66.15,-65.72,6.75,8.66
Sao Felix do Xingu,BR,1554041038,20,77,-6.64,-51.99,83.88,0.72
Roald,NO,1554040869,75,64,62.58,6.12,37.4,10.29
Bridgton,US,1554041056,90,100,44.05,-70.71,57.0,12.75
Kristiansund,NO,1554038400,75,59,63.12,7.73,37.4,25.28
Arrifes,PT,1554041081,40,62,37.77,-25.7,59.0,17.22
Marawi,PH,1554040858,0,76,8.0,124.29,73.99,5.01
Shakhovskaya,RU,1554040910,32,66,56.03,35.51,51.84,16.82
Dinguiraye,GN,1554041082,0,26,11.29,-10.71,98.55,9.66
Pahrump,US,1554040844,1,39,36.21,-115.98,55.0,13.87
Knysna,ZA,1554037200,90,93,-34.04,23.05,62.6,9.17
Meulaboh,ID,1554040893,80,100,4.14,96.13,80.37,3.74
Santa Maria,BR,1554037200,75,88,-29.69,-53.81,75.2,5.19
Nokaneng,BW,1554041084,8,21,-19.66,22.19,94.68,8.21
Sechura,PE,1554041084,0,71,-5.56,-80.82,76.41,6.2
Chapais,CA,1554037860,90,92,49.78,-74.86,21.2,11.41
Phayakkhaphum Phisai,TH,1554037200,40,79,15.52,103.19,84.2,3.96
